CLAVE,P001,P029,P025,P024E,P024,P010,P002E,P002,P028E,P028,P026E,P026,P007,P003E,P003,P011,P012,P019,P030E,P030,P008,P021,P020,P021A,P031E,P031,D002,D012,D001,D004,D006,D005
1,4666.62,0,333.33,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.54,7.84,133.48,0,0,0
26,8749.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.58,157.09,0,0,0,0,0,0,1355.29,0,258.55,0,0,0
25,25000.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5684.67,0,688.12,0,0,0
9,3499.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.1,0,0,151.65,3.4,93.07,0,0,0
2,4000.05,0,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,133.34,0,0,0,0,0,0,0,583.98,0,139.11,0,0,0
3,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,64.28,0,188.71,0,0,0,2.5,54.02,0,0,0
13,2250,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,125.1,0,0,122.28,0,74.83,0,0,0
14,2075,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,857.16,52.08,238.91,0,0,0
43,3499.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.1,0,0,151.65,0,94.7,0,0,0
19,1866.62,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499.64,0,134,0,0,0
5,2499.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,160.3,0,0,7.65,60.07,63.73,0,0,0
6,2875.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.84,0,0,0,0,145.38,0,0,63.38,17.57,74.31,0,0,0
44,1999.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.69,0,188.71,0,0,0,0,49.65,0,0,0
